,"Jennersdorf <10504>",410,,487,,137,,623,,952,,930,,450,,22,,37,,15,,52,,48,,29,,19,,16,,27,,10,,23,,14,,3,,1,,
,"Königsdorf <10511>",101,,95,,33,,114,,155,,177,,85,,3,,2,,1,,13,,7,,2,,5,,-,,6,,2,,1,,3,,1,,-,,
,"Minihof-Liebau <10505>",108,,131,,41,,155,,246,,222,,100,,8,,10,,4,,20,,17,,13,,3,,-,,1,,-,,5,,1,,-,,1,,
,"Mogersdorf <10506>",103,,138,,43,,166,,243,,251,,98,,22,,19,,8,,36,,34,,20,,5,,12,,8,,5,,7,,6,,3,,-,,
,"Mühlgraben <10512>",40,,49,,15,,67,,92,,93,,31,,-,,1,,-,,2,,4,,4,,-,,-,,1,,-,,1,,-,,-,,-,,
,"Neuhaus am Klausenbach <10507>",118,,82,,40,,150,,202,,188,,117,,14,,3,,2,,18,,18,,12,,7,,-,,-,,-,,1,,1,,-,,-,,
,"Rudersdorf <10508>",223,,314,,92,,374,,506,,428,,227,,25,,6,,1,,28,,25,,18,,6,,4,,3,,-,,11,,3,,6,,1,,
,"Sankt Martin an der Raab <10509>",192,,231,,89,,306,,448,,468,,220,,14,,10,,4,,24,,23,,15,,1,,-,,-,,-,,4,,4,,2,,-,,
,"Weichselbaum <10510>",69,,71,,22,,104,,151,,191,,72,,3,,1,,-,,7,,14,,13,,5,,6,,4,,2,,2,,-,,1,,-,,
,"Antau <10616>",109,,88,,33,,138,,174,,151,,75,,3,,4,,-,,11,,11,,6,,-,,4,,10,,1,,8,,11,,3,,-,,
,"Bad Sauerbrunn <10611>",310,,305,,95,,354,,450,,421,,278,,12,,18,,8,,39,,37,,18,,2,,7,,13,,3,,21,,11,,14,,1,,
,"Baumgarten <10617>",111,,89,,25,,136,,187,,170,,120,,15,,6,,1,,31,,19,,9,,2,,3,,3,,-,,7,,8,,2,,1,,
,"Draßburg <10601>",150,,119,,35,,163,,245,,226,,147,,28,,21,,5,,42,,26,,12,,1,,8,,15,,3,,12,,9,,6,,-,,
,"Forchtenstein <10602>",342,,353,,120,,410,,595,,603,,284,,20,,19,,7,,39,,39,,9,,1,,13,,11,,4,,24,,13,,2,,-,,
,"Hirm <10603>",128,,124,,46,,173,,201,,187,,86,,18,,6,,1,,24,,23,,6,,2,,14,,16,,7,,23,,26,,4,,-,,
,"Krensdorf <10619>",94,,90,,43,,107,,117,,143,,43,,11,,8,,3,,9,,10,,4,,-,,-,,-,,-,,2,,-,,2,,-,,
,"Loipersbach im Burgenland <10604>",129,,173,,47,,153,,275,,218,,132,,16,,21,,4,,24,,25,,10,,4,,4,,6,,2,,9,,6,,-,,-,,
,"Marz <10605>",269,,258,,107,,339,,432,,443,,165,,11,,13,,3,,20,,29,,13,,1,,21,,14,,5,,19,,20,,9,,4,,
,"Mattersburg <10606>",893,,1070,,337,,1224,,1470,,1291,,654,,62,,73,,22,,130,,108,,54,,10,,78,,114,,34,,126,,105,,40,,12,,
,"Neudörfl <10607>",589,,704,,230,,726,,1000,,776,,460,,39,,45,,13,,86,,72,,24,,5,,49,,99,,31,,118,,70,,41,,18,,
,"Pöttelsdorf <10608>",97,,96,,26,,141,,161,,141,,78,,3,,5,,2,,13,,10,,2,,1,,-,,-,,-,,3,,3,,-,,-,,
,"Pöttsching <10609>",360,,428,,137,,476,,634,,627,,317,,11,,28,,12,,43,,42,,18,,7,,23,,15,,7,,35,,18,,14,,-,,
,"Rohrbach bei Mattersburg <10610>",287,,351,,113,,394,,562,,536,,255,,29,,25,,11,,41,,61,,10,,2,,12,,18,,3,,22,,15,,17,,4,,
,"Schattendorf <10612>",277,,289,,100,,392,,502,,483,,236,,43,,26,,12,,56,,50,,11,,1,,7,,5,,1,,13,,8,,6,,1,,
,"Sieggraben <10613>",170,,134,,39,,231,,236,,282,,113,,14,,13,,4,,22,,13,,7,,1,,2,,3,,1,,8,,4,,1,,1,,
,"Sigleß <10614>",144,,143,,48,,199,,285,,201,,137,,7,,9,,1,,15,,14,,8,,2,,5,,4,,3,,5,,3,,1,,-,,
,"Wiesen <10615>",333,,341,,124,,431,,581,,581,,299,,30,,19,,11,,38,,41,,6,,7,,14,,13,,3,,20,,14,,2,,-,,
,"Zemendorf-Stöttera <10618>",130,,200,,65,,201,,270,,223,,117,,11,,24,,6,,34,,25,,7,,2,,1,,9,,-,,10,,13,,6,,-,,
,"Andau <10701>",226,,218,,80,,353,,464,,575,,287,,16,,25,,13,,32,,51,,11,,3,,6,,4,,1,,14,,7,,7,,1,,
,"Apetlon <10702>",187,,178,,59,,271,,383,,433,,245,,4,,1,,-,,12,,10,,4,,1,,10,,1,,1,,9,,3,,2,,-,,
,"Bruckneudorf <10703>",372,,448,,151,,530,,725,,474,,184,,35,,30,,8,,82,,71,,27,,2,,13,,16,,5,,33,,22,,13,,8,,
,"Deutsch Jahrndorf <10704>",55,,56,,18,,84,,109,,122,,79,,38,,14,,3,,46,,19,,15,,1,,-,,-,,-,,5,,2,,-,,-,,
,"Edelstal <10727>",47,,76,,23,,64,,130,,141,,68,,80,,28,,15,,72,,57,,27,,4,,2,,-,,-,,2,,2,,3,,1,,
,"Frauenkirchen <10705>",281,,335,,105,,419,,631,,597,,334,,37,,31,,11,,75,,72,,23,,12,,9,,13,,5,,24,,23,,12,,4,,
,"Gattendorf <10706>",127,,162,,67,,179,,280,,246,,117,,104,,24,,14,,121,,49,,15,,2,,17,,8,,2,,12,,5,,1,,-,,
,"Gols <10707>",475,,533,,170,,682,,847,,759,,385,,36,,49,,13,,71,,77,,15,,3,,7,,28,,9,,26,,11,,4,,3,,
,"Halbturn <10708>",243,,215,,100,,312,,381,,426,,257,,3,,8,,2,,12,,23,,11,,1,,4,,3,,3,,10,,5,,-,,-,,
,"Illmitz <10709>",260,,246,,57,,384,,511,,584,,276,,6,,5,,1,,19,,30,,17,,7,,3,,3,,-,,5,,6,,3,,-,,
,"Jois <10710>",197,,183,,70,,241,,384,,331,,140,,22,,6,,2,,46,,34,,13,,4,,-,,10,,2,,12,,5,,2,,1,,
,"Kittsee <10711>",184,,197,,58,,224,,365,,404,,266,,623,,194,,91,,591,,333,,182,,18,,6,,9,,3,,18,,8,,7,,1,,
,"Mönchhof <10712>",238,,284,,122,,354,,501,,445,,230,,16,,16,,5,,29,,39,,14,,3,,2,,2,,1,,5,,9,,2,,-,,
,"Neudorf <10725>",102,,98,,28,,130,,143,,141,,74,,13,,16,,4,,22,,18,,2,,1,,8,,3,,-,,9,,5,,1,,1,,
,"Neusiedl am See <10713>",1079,,1058,,370,,1436,,1810,,1399,,635,,211,,177,,61,,331,,276,,94,,23,,83,,77,,25,,124,,72,,26,,6,,
,"Nickelsdorf <10714>",157,,173,,58,,224,,307,,351,,196,,110,,28,,14,,130,,80,,35,,2,,6,,20,,4,,16,,10,,8,,2,,
,"Pama <10715>",154,,124,,33,,185,,218,,202,,119,,70,,34,,16,,73,,51,,24,,3,,2,,9,,5,,7,,5,,1,,1,,
,"Pamhagen <10716>",147,,201,,74,,239,,336,,367,,175,,5,,6,,2,,8,,17,,6,,3,,-,,2,,-,,2,,2,,2,,-,,
,"Parndorf <10717>",698,,717,,221,,792,,967,,697,,281,,199,,109,,38,,267,,201,,57,,16,,47,,66,,18,,111,,59,,30,,12,,
,"Podersdorf am See <10718>",232,,235,,87,,348,,443,,480,,251,,16,,19,,6,,29,,44,,12,,11,,13,,13,,9,,14,,22,,8,,3,,
,"Potzneusiedl <10726>",53,,66,,32,,86,,122,,109,,69,,46,,10,,7,,45,,33,,5,,-,,1,,1,,1,,4,,1,,-,,1,,
,"Sankt Andrä am Zicksee <10719>",155,,146,,57,,197,,288,,348,,154,,6,,14,,5,,19,,26,,11,,2,,5,,3,,2,,6,,3,,3,,-,,
